r1,r2,ang,level,atom_index,atom,mux,muy,muz
1.0,1.079,123.158,hf,1,O,-0.0,0.1825642,0.17754637
1.0,1.079,123.158,hf,2,O,-0.0,0.25957871,0.06768804
1.0,1.079,123.158,mp2,0,C,-0.0,-0.03237885,-0.02018293
1.0,1.079,123.158,mp2,1,O,-0.0,0.1825642,0.17754637
1.0,1.079,123.158,mp2,2,O,-0.0,0.25957871,0.06768804
1.021,1.079,123.158,hf,0,C,0.0,-0.03363071,-0.01967329
1.021,1.079,123.158,hf,1,O,0.0,0.18287606,0.18036844
1.021,1.079,123.158,hf,2,O,0.0,0.25929312,0.06291254
1.021,1.079,123.158,mp2,0,C,0.0,-0.03363071,-0.01967329
1.021,1.079,123.158,mp2,1,O,0.0,0.18287606,0.18036844
1.021,1.079,123.158,mp2,2,O,0.0,0.25929312,0.06291254
1.0,1.105,123.158,hf,0,C,0.0,-0.03238341,-0.01990063
1.0,1.105,123.158,hf,1,O,-0.0,0.17574816,0.17992526
1.0,1.105,123.158,hf,2,O,0.0,0.26188499,0.06353091
1.0,1.105,123.158,mp2,0,C,0.0,-0.03238341,-0.01990063
1.0,1.105,123.158,mp2,1,O,-0.0,0.17574816,0.17992526
1.0,1.105,123.158,mp2,2,O,0.0,0.26188499,0.06353091
1.021,1.105,123.158,hf,0,C,0.0,-0.0337269,-0.01944923
1.021,1.105,123.158,hf,1,O,-0.0,0.17634422,0.18272627
1.021,1.105,123.158,hf,2,O,-0.0,0.26170459,0.05914636
1.021,1.105,123.158,mp2,0,C,0.0,-0.0337269,-0.01944923
1.021,1.105,123.158,mp2,1,O,-0.0,0.17634422,0.18272627
1.021,1.105,123.158,mp2,2,O,-0.0,0.26170459,0.05914636
1.0,1.132,123.158,hf,0,C,-0.0,-0.03238209,-0.01895019
1.0,1.132,123.158,hf,1,O,-0.0,0.16863725,0.18201069
1.0,1.132,123.158,hf,2,O,-0.0,0.26414281,0.05884424
1.0,1.132,123.158,mp2,0,C,-0.0,-0.03238209,-0.01895019
1.0,1.132,123.158,mp2,1,O,-0.0,0.16863725,0.18201069
1.0,1.132,123.158,mp2,2,O,-0.0,0.26414281,0.05884424
1.021,1.132,123.158,hf,0,C,0.0,-0.03385514,-0.01857632
1.021,1.132,123.158,hf,1,O,0.0,0.16948477,0.18476263
1.021,1.132,123.158,hf,2,O,0.0,0.26402239,0.05488218
1.021,1.132,123.158,mp2,0,C,0.0,-0.03385514,-0.01857632
1.021,1.132,123.158,mp2,1,O,0.0,0.16948477,0.18476263
1.021,1.132,123.158,mp2,2,O,0.0,0.26402239,0.05488218
1.0,1.158,123.158,hf,0,C,0.0,-0.03238021,-0.01740431
1.0,1.158,123.158,hf,1,O,0.0,0.1617715,0.18358322
1.0,1.158,123.158,hf,2,O,0.0,0.26610641,0.05402785
1.0,1.158,123.158,mp2,0,C,0.0,-0.03238021,-0.01740431
1.0,1.158,123.158,mp2,1,O,0.0,0.1617715,0.18358322
1.0,1.158,123.158,mp2,2,O,0.0,0.26610641,0.05402785
1.0,1.184,123.158,hf,0,C,0.0,-0.03234174,-0.01520274
1.0,1.184,123.158,hf,1,O,0.0,0.15490909,0.18473733
